Country:GDP per capita:SEDA:HDI:BLI – Labour market insecurity:BLI – Stakeholder engagement for developing regulations:BLI - Dwellings without basic facilities:BLI - Housing expenditure :BLI - Feeling safe walking alone at night:BLI - Rooms per person:BLI - Household net adjusted disposable income:BLI - Household net wealth:BLI - Employment rate:BLI - Long-term unemployment rate:BLI - Personal earnings:BLI - Quality of support network:BLI - Educational attainment:BLI - Student skills:BLI - Years in education:BLI - Air pollution:BLI - Water quality:BLI - Voter turnout:BLI - Life expectancy:BLI - Self-reported health:BLI - Life satisfaction:BLI - Homicide rate:BLI - Employees working very long hours:BLI - Time devoted to leisure and personal care
Mozambique :493,367:21,2:437::::::::::::::::::::::::
Namibia :5675,114:37,8:647::::::::::::::::::::::::
Nauru :8853,462::::::::::::::::::::::::::
Nepal :965,344:37,9:574::::::::::::::::::::::::
Netherlands :53016,389:83,3:931:4,8:2,6:0,1:19:82:1,9:29333:157824:76:1,97:52877:91:78:508:18,7:14:93:82:81,6:76:7,4:0,6:0,42:
Netherlands Antilles :::::::::::::::::::::::::::
New Caledonia :::::::::::::::::::::::::::
New Zealand :41988,602:80,9:917:4,7:2,5::26:65,7:2,4::388514:77:0,74:40043:96:79:506:17,7:5:89:80:81,7:88:7,3:1,3:15,11:14,87
Nicaragua :1983,329:41:658::::::::::::::::::::::::
Niger :487,683:27,3:354::::::::::::::::::::::::
Nigeria :2233,445:22,7:532::::::::::::::::::::::::
N. Mariana Islands :::::::::::::::::::::::::::
Norway :79733,123:87,7:953::2,2:0:17:90,1:2,1:35725:228936:74:0,66:51212:94:82:504:18,3:5:98:78:82,5:77:7,6:0,4:2,93:15,56
Oman :18081,808:62:821::::::::::::::::::::::::
Pakistan :1357,984:25,4:562::::::::::::::::::::::::
Palau :16632,498::798::::::::::::::::::::::::
Panama :16629,067:53,1:789::::::::::::::::::::::::
Papua New Guinea :2494,109::544::::::::::::::::::::::::
Paraguay :5921,098:44,2:702::::::::::::::::::::::::
Peru :7141,905:47,6:0,75::::::::::::::::::::::::
Philippines :3280,376:42,6:699::::::::::::::::::::::::
Poland :15629,877:68,7:865:5,7:2,6:3:22:67,3:1,1:19814:210991:66:1,52:27046:86:92:504:17,6:22:82:55:78:58:6,1:0,7:5,95:14,42
Portugal :23310,758:71,3:847:10:1,5:1:21:73,4:1,7:21203:232666:68:4,43:25367:88:48:497:16,9:10:86:56:81,2:48:5,4:1:8,27:
Puerto Rico :32328,706::::::::::::::::::::::::::
Qatar :70288,178:69,3:856::::::::::::::::::::::::
Reunion :::::::::::::::::::::::::::
Romania :12506,515:58:811::::::::::::::::::::::::
Russia :11191,287:56,6:816:::14,8:18:52,8:0,9:::70:1,59::89:94:492:16,2:15:55:68:71,8:43:5,8:9,6:0,14:
Rwanda :829,97:37,1:524::::::::::::::::::::::::
Saint Helena :::::::::::::::::::::::::::
Saint Kitts & Nevis :18713,816::778::::::::::::::::::::::::
Saint Lucia :11088,843::747::::::::::::::::::::::::
St Pierre & Miquelon :::::::::::::::::::::::::::
Saint Vincent and the Grenadines :7826,474::723::::::::::::::::::::::::
Samoa :4487,539::713::::::::::::::::::::::::
San Marino :48141,482::::::::::::::::::::::::::
Sao Tome & Principe :::589::::::::::::::::::::::::
Saudi Arabia :22507,134:60:853::::::::::::::::::::::::
Senegal :1510,197:36,1:505::::::::::::::::::::::::
Serbia :7526,935:53:787::::::::::::::::::::::::
Seychelles :17154,736::797::::::::::::::::::::::::
Sierra Leone :516,756::419::::::::::::::::::::::::
Singapore :65627,044:81,2:932::::::::::::::::::::::::
Slovakia :20155,066:67,9:855:9,9:3:1,2:23:63,5:1,1:20474::66:4,78:24328:91:91:463:15,8:21:85:60:77,3:66:6,2:0,8:4,14:
Slovenia :26621,349:74:896::::::::::::::::::::::::
Solomon Islands :2357,414::546:5,8:2,5:0,4:18:86,1:1,5:20820:203044:69:3,17:34933:92:88:509:18,3:16:90:53:81,3:64:5,9:0,6:4,39:14,75
Somalia :::::::::::::::::::::::::::
South Africa :6331,458:37,4:699:::37:18:36,1::::43:16,46::88:73:::22:67:73:57,5::4,7:13,7:18,12:14,92
Spain :30631,329:72,5:891:23,1:1,8:0,1:21:82,1:1,9:23999:373548:62:7,66:38507:93:59:491:17,9:11:72:70:83,4:72:6,3:0,6:4,01:15,93
Sri Lanka :3837,11:48,5:772::::::::::::::::::::::::
Sudan :728,062:21,3:502::::::::::::::::::::::::
Suriname :6158,737:50,3:0,72::::::::::::::::::::::::
Swaziland :::588::::::::::::::::::::::::
Sweden :53004,474:84,1:933:3,2:2:0:19:75,6:1,7:31287::77:1,12:42393:91:83:496:19,3:6:96:86:82,4:75:7,3:0,9:1,07:15,18
Switzerland :82411,617:86,9:944::2,3:0,1:22:85,3:1,9:37466::80:1,82:62283:93:88:506:17,5:15:95:49:83,7:78:7,5:0,6:0,37:
Syria :::::::::::::::::::::::::::
Taiwan :25447,503::::::::::::::::::::::::::
Tajikistan :828,448:38,8:0,65::::::::::::::::::::::::
Tanzania :1172,182:33,8:538::::::::::::::::::::::::
Thailand :7607,674:51,1:755::::::::::::::::::::::::
Togo :682,405:30,6:503::::::::::::::::::::::::
Tonga :4888,034::726::::::::::::::::::::::::
Trinidad & Tobago :16243,179:56,4:784::::::::::::::::::::::::
Tunisia :3072,513:47,2:735::::::::::::::::::::::::
Turkey :8506,558:52:791:12,5:1,5:8:20:59,8:1:::52:2,39::86:39:425:18,3:20:65:86:78:69:5,5:1,4:32,64:14,79
Turkmenistan :8430,86::706::::::::::::::::::::::::
Turks & Caicos Is :::::::::::::::::::::::::::
Tuvalu :4421,214::::::::::::::::::::::::::
Uganda :759,066:28,2:516::::::::::::::::::::::::
Ukraine :3220,931:51,2:751::::::::::::::::::::::::
United Arab Emirates :39806,325:69,7:863::::::::::::::::::::::::
United Kingdom :42310,035:76,1:922:4,5:3,1:0,3:26:77,7:1,9:28715:548392:75:1,13:43732:94:81:500:17,5:11:84:69:81,2:69:6,8:0,2:12,15:14,92
United States :64767,442:76,3:924:7,7:3,1:0,1:19:73,9:2,4:45284:632100:70:0,66:60558:91:91:488:17,2:10:83:65:78,6:88:6,9:5,5:11,09:14,44
Uruguay :17118,218:64:804::::::::::::::::::::::::
Uzbekistan :1483,261:39,2:0,71::::::::::::::::::::::::
Vanuatu :3230,819::603::::::::::::::::::::::::
Venezuela :2724,166:43,5:761::::::::::::::::::::::::
Vietnam :2725,833:50,2:694::::::::::::::::::::::::
Virgin Islands :::::::::::::::::::::::::::
Wallis and Futuna :::::::::::::::::::::::::::
West Bank :::::::::::::::::::::::::::
Western Sahara :::::::::::::::::::::::::::
Yemen :918,802:17:452::::::::::::::::::::::::
Zambia :1343,567:29,4:588::::::::::::::::::::::::
Zimbabwe :1423,485:26,9:535::::::::::::::::::::::::
Montenegro:8711,366:54,3:814::::::::::::::::::::::::
Myanmar:1238,52:33,2:578::::::::::::::::::::::::
Eswatini:4205,672:28,2:::::::::::::::::::::::::
Palestine:4446,995::686::::::::::::::::::::::::
Kosovo:::::::::::::::::::::::::::
